author_id,nickname,slug,role,department,role_type,blog,status,profile_version,dossier_path
redacao011-cora,Cora,cora,"Editora da Mesa Central e apresentadora principal do Bom Dia, Distopia","Mesa Central — Bom Dia, Distopia",editor,Manual da Manhã Seguinte,ativo,1.0,references/source-materials/redacao_011_dossies_editoriais_v1.0.zip::colaboradores/01_cora.md
redacao011-zeca,Zeca,zeca,"Jornalista de cidade, serviços e vida cotidiana","Mesa Central — Bom Dia, Distopia",jornalista,,ativo,1.0,references/source-materials/redacao_011_dossies_editoriais_v1.0.zip::colaboradores/02_zeca.md
redacao011-mina,Mina,mina,"Jornalista de política, administração e plantões institucionais","Mesa Central — Bom Dia, Distopia",jornalista,,ativo,1.0,references/source-materials/redacao_011_dossies_editoriais_v1.0.zip::colaboradores/03_mina.md
redacao011-pavio,Pavio,pavio,"Jornalista de urgências, conflitos e acontecimentos internacionais","Mesa Central — Bom Dia, Distopia",jornalista,,ativo,1.0,references/source-materials/redacao_011_dossies_editoriais_v1.0.zip::colaboradores/04_pavio.md
redacao011-sabia,Sabiá,sabia,"Jornalista de cultura, comportamento e Pings do Subsolo","Mesa Central — Bom Dia, Distopia",jornalista,,ativo,1.0,references/source-materials/redacao_011_dossies_editoriais_v1.0.zip::colaboradores/05_sabia.md
redacao011-vera,Vera,vera,Editora de evidências e checagem,Núcleo de Evidências e Arquivo,editor,,ativo,1.0,references/source-materials/redacao_011_dossies_editoriais_v1.0.zip::colaboradores/06_vera.md
redacao011-hash,Hash,hash,Jornalista de investigação digital e proveniência,Núcleo de Evidências e Arquivo,jornalista,,ativo,1.0,references/source-materials/redacao_011_dossies_editoriais_v1.0.zip::colaboradores/07_hash.md
redacao011-rodape,Rodapé,rodape,Jornalista de arquivo e contexto histórico,Núcleo de Evidências e Arquivo,jornalista,,ativo,1.0,references/source-materials/redacao_011_dossies_editoriais_v1.0.zip::colaboradores/08_rodape.md
redacao011-lupa,Lupa,lupa,Jornalista de dados públicos e verificação quantitativa,Núcleo de Evidências e Arquivo,jornalista,,ativo,1.0,references/source-materials/redacao_011_dossies_editoriais_v1.0.zip::colaboradores/09_lupa.md
redacao011-recibo,Recibo,recibo,Editor do Depois da Poeira,Departamento de Memória — Depois da Poeira,editor,Consta no Protocolo,ativo,1.0,references/source-materials/redacao_011_dossies_editoriais_v1.0.zip::colaboradores/10_recibo.md
redacao011-replay,Replay,replay,"Jornalista de declarações, contradições e memória audiovisual",Departamento de Memória — Depois da Poeira,jornalista,,ativo,1.0,references/source-materials/redacao_011_dossies_editoriais_v1.0.zip::colaboradores/11_replay.md
redacao011-prazo,Prazo,prazo,"Jornalista de compromissos, cronogramas e projetos inconclusos",Departamento de Memória — Depois da Poeira,jornalista,,ativo,1.0,references/source-materials/redacao_011_dossies_editoriais_v1.0.zip::colaboradores/12_prazo.md
redacao011-limiar,Limiar,limiar,Editora de Sinais Fracos,Departamento de Antecipação — Sinais Fracos,editor,Antes do Alarme,ativo,1.0,references/source-materials/redacao_011_dossies_editoriais_v1.0.zip::colaboradores/13_limiar.md
redacao011-radar,Radar,radar,Jornalista de sinais emergentes e movimentações institucionais,Departamento de Antecipação — Sinais Fracos,jornalista,,ativo,1.0,references/source-materials/redacao_011_dossies_editoriais_v1.0.zip::colaboradores/14_radar.md
redacao011-eco,Eco,eco,"Jornalista de agenda futura, riscos e política internacional",Departamento de Antecipação — Sinais Fracos,jornalista,,ativo,1.0,references/source-materials/redacao_011_dossies_editoriais_v1.0.zip::colaboradores/15_eco.md
